sex,age,age_cat,race,decile_score,priors_count,days_b_screening_arrest,c_jail_in,c_jail_out,c_charge_degree,is_recid,decile_score,score_text,two_year_recid
Male,43,25 - 45,Caucasian,1,1,-1,2013-01-24 3:43,2013-01-25 9:12,M,0,1,Low,0
Male,32,25 - 45,Other,3,0,-1,2013-05-10 8:38,2013-05-12 3:33,M,0,3,Low,0
Male,27,25 - 45,African-American,3,8,-1,2013-05-05 9:07,2013-05-22 9:08,F,1,3,Low,1
Female,36,25 - 45,Caucasian,3,3,53,2013-05-10 11:15,2013-05-11 7:01,F,0,3,Low,0
Male,26,25 - 45,African-American,7,5,-1,2013-02-19 7:47,2013-02-20 6:33,F,1,7,Medium,1
Male,33,25 - 45,African-American,10,0,0,2014-10-24 12:50,2014-12-01 7:49,F,1,10,High,1
Male,30,25 - 45,Caucasian,9,9,0,2013-01-28 2:28,2013-03-13 7:32,F,1,9,High,1
Male,32,25 - 45,African-American,8,4,-1,2014-11-14 3:07,2014-11-15 4:56,F,1,8,High,1
Male,55,Greater than 45,Caucasian,1,0,-1,2013-12-29 6:37,2013-12-31 10:29,F,0,1,Low,0
Male,49,Greater than 45,Other,3,7,-1,2013-04-03 4:47,2013-04-07 2:54,F,1,3,Low,1
Male,26,25 - 45,Caucasian,8,6,81,2013-06-29 6:05,2013-07-11 9:02,M,0,8,High,0
Female,33,25 - 45,Caucasian,5,4,-1,2013-12-02 1:48,2013-12-13 5:25,M,1,5,Medium,1
Male,24,Less than 25,Caucasian,2,1,0,2013-09-15 3:47,2013-09-16 6:50,M,1,2,Low,1
Male,34,25 - 45,African-American,9,21,0,2013-01-11 2:19,2013-02-13 9:33,F,1,9,High,1
Male,29,25 - 45,Caucasian,2,0,0,2013-01-16 12:44,2013-01-16 6:49,M,0,2,Low,0
Female,21,Less than 25,African-American,8,2,-1,2013-08-23 10:37,2013-11-11 4:30,F,0,8,High,0
Male,51,Greater than 45,African-American,1,2,-1,2013-02-27 4:44,2013-02-28 8:01,M,0,1,Low,0
Male,29,25 - 45,Caucasian,2,2,-1,2014-04-05 8:45,2014-04-06 1:46,M,1,2,Low,1
Female,51,Greater than 45,African-American,2,7,-1,2013-02-13 9:29,2013-02-15 1:35,F,0,2,Low,0
Male,29,25 - 45,African-American,7,0,0,2014-03-03 4:28,2014-03-03 9:10,F,1,7,Medium,1
Male,25,25 - 45,Caucasian,10,9,-1,2014-03-27 10:17,2014-04-03 9:27,M,1,10,High,1
Male,35,25 - 45,African-American,8,13,-1,2014-05-18 4:05,2014-05-19 1:47,F,1,8,High,1
Male,49,Greater than 45,Caucasian,1,0,0,2013-08-02 4:43,2013-08-02 8:31,M,0,1,Low,0
Male,34,25 - 45,African-American,3,4,-59,2014-10-28 4:07,2014-12-18 9:54,M,1,3,Low,1
Male,29,25 - 45,African-American,4,0,0,2013-04-24 4:28,2013-04-24 8:20,F,0,4,Low,0
Male,29,25 - 45,Caucasian,2,1,-24,2013-05-10 5:18,2013-05-10 7:43,F,1,2,Low,1
Female,28,25 - 45,Other,2,0,-1,2013-11-17 9:43,2013-11-18 8:03,F,0,2,Low,0
Male,48,Greater than 45,Caucasian,6,20,302,2014-02-28 11:19,2014-03-11 2:46,F,1,6,Medium,1
Female,63,Greater than 45,Hispanic,1,1,-219,2013-06-17 4:04,2013-06-25 8:31,F,0,1,Low,0
Male,31,25 - 45,African-American,5,15,-1,2013-03-17 9:02,2013-07-31 8:23,F,1,5,Medium,0
Male,24,Less than 25,African-American,4,2,-1,2013-09-17 7:19,2013-09-19 4:16,F,1,4,Low,1
Male,30,25 - 45,Hispanic,7,0,0,2013-01-20 2:50,2013-02-12 9:16,M,0,7,Medium,0
Male,49,Greater than 45,African-American,1,4,-1,2013-08-26 9:16,2013-08-27 6:57,M,0,1,Low,0
Male,53,Greater than 45,Caucasian,5,8,-13,2013-05-15 8:36,2013-05-28 10:06,F,0,5,Medium,0
Male,35,25 - 45,African-American,3,5,-1,2013-02-10 7:44,2013-02-11 7:04,F,0,3,Low,0
Male,63,Greater than 45,African-American,7,10,-38,2013-05-03 9:19,2013-06-08 5:22,M,1,7,Medium,1
Male,27,25 - 45,African-American,10,15,-1,2014-08-29 4:58,2014-08-30 8:38,F,1,10,High,1
Male,38,25 - 45,Caucasian,2,4,-1,2013-02-03 11:59,2013-02-05 11:05,M,1,2,Low,1
Male,22,Less than 25,African-American,4,1,-1,2013-11-15 6:56,2013-11-16 7:51,F,1,4,Low,1
Male,22,Less than 25,African-American,10,2,70,2013-05-23 1:31,2013-09-24 6:24,F,1,10,High,1
Male,29,25 - 45,African-American,9,4,-1,2013-01-25 10:34,2013-02-13 9:36,F,1,9,High,1
Male,62,Greater than 45,Hispanic,1,0,0,2013-01-08 12:33,2013-01-08 9:41,M,0,1,Low,0
Male,27,25 - 45,African-American,6,6,0,2014-04-30 2:11,2014-05-30 4:59,F,1,6,Medium,1
Male,33,25 - 45,Other,1,0,-1,2014-03-08 1:34,2014-03-09 10:21,M,0,1,Low,0
Female,56,Greater than 45,African-American,1,0,0,2013-09-28 2:52,2013-10-01 7:39,M,0,1,Low,0
Male,45,Greater than 45,Hispanic,1,6,-1,2013-01-12 5:43,2013-09-11 4:51,F,1,1,Low,1
Male,22,Less than 25,Hispanic,4,1,-1,2013-05-24 6:06,2013-05-25 7:28,F,0,4,Low,0
Male,39,25 - 45,African-American,4,1,-1,2013-03-06 11:23,2013-03-11 9:00,M,0,4,Low,0
Male,29,25 - 45,African-American,6,5,0,2013-01-07 2:12,2013-01-08 5:19,F,1,6,Medium,1
Male,27,25 - 45,Caucasian,6,1,-1,2014-12-02 3:23,2014-12-16 9:24,F,1,6,Medium,1
Male,40,25 - 45,African-American,2,2,-15,2013-07-02 3:42,2013-07-05 8:13,F,0,2,Low,0
Male,22,Less than 25,African-American,3,1,0,2013-08-25 12:07,2013-09-11 8:04,M,1,3,Low,1
Male,22,Less than 25,Caucasian,8,0,-1,2013-02-18 12:24,2013-04-17 10:32,F,0,8,High,0
Female,26,25 - 45,African-American,4,1,-1,2013-11-07 9:01,2013-11-09 9:07,F,1,4,Low,1
Male,27,25 - 45,Caucasian,7,1,-43,2014-06-08 1:02,2014-06-27 9:37,F,1,7,Medium,1
Male,32,25 - 45,African-American,2,0,-1,2013-03-03 3:33,2013-03-04 7:08,F,0,2,Low,0
Male,41,25 - 45,African-American,2,1,-1,2013-02-27 9:49,2013-03-01 1:59,M,0,2,Low,0
Male,30,25 - 45,African-American,10,8,-1,2013-02-20 2:14,2013-02-21 7:47,M,1,10,High,1
Male,50,Greater than 45,Other,1,0,-1,2014-08-06 12:43,2014-08-07 8:29,F,1,1,Low,1
Male,25,25 - 45,African-American,10,14,-1,2013-04-19 2:20,2013-04-26 5:45,F,1,10,High,1
Male,20,Less than 25,Other,5,0,-1,2013-10-02 5:50,2013-10-03 8:15,F,1,5,Medium,1
Male,22,Less than 25,African-American,9,2,0,2014-01-16 2:39,2014-02-15 4:39,F,1,9,High,1
Male,23,Less than 25,African-American,7,2,137,2014-08-01 8:35,2014-08-02 1:49,M,1,7,Medium,1
Female,35,25 - 45,African-American,2,1,-1,2013-03-29 6:55,2013-03-30 3:12,M,0,2,Low,0
Male,36,25 - 45,African-American,7,9,0,2014-04-29 12:24,2014-05-03 4:26,F,1,7,Medium,1
Male,26,25 - 45,Caucasian,8,7,0,2013-01-12 4:53,2013-01-12 7:28,F,1,8,High,1
Male,21,Less than 25,Other,6,1,0,2013-04-20 12:30,2013-04-24 10:36,F,1,6,Medium,1
Male,25,25 - 45,Caucasian,8,9,-1,2014-12-12 7:27,2014-12-13 7:23,F,1,8,High,1
Male,71,Greater than 45,African-American,7,12,,,,M,0,7,Medium,0
Female,20,Less than 25,Caucasian,7,0,-1,2013-11-13 11:21,2013-11-14 1:36,F,0,7,Medium,0
Male,39,25 - 45,Caucasian,1,2,-2,2013-02-11 12:50,2013-02-11 7:33,F,1,1,Low,1
Male,66,Greater than 45,Caucasian,1,3,-64,2013-09-03 4:44,2013-10-03 12:15,F,0,1,Low,0
Female,54,Greater than 45,Caucasian,1,0,0,2013-04-15 1:07,2013-04-15 7:56,M,0,1,Low,0
Female,44,25 - 45,Hispanic,1,0,-2,2013-08-18 3:23,2013-08-19 6:27,M,0,1,Low,0
Male,19,Less than 25,African-American,4,1,-10,2014-11-04 7:39,2014-11-13 10:02,M,1,4,Low,1
Male,24,Less than 25,African-American,2,1,-137,2013-10-14 4:11,2014-02-28 11:20,F,0,2,Low,0
Male,30,25 - 45,African-American,2,1,-1,2013-09-08 9:39,2013-09-09 8:03,F,0,2,Low,0
Female,39,25 - 45,Caucasian,1,0,-1,2013-09-04 11:36,2013-09-06 4:07,F,1,1,Low,1
Male,24,Less than 25,Caucasian,6,8,-1,2013-04-10 5:59,2013-04-22 10:32,F,1,6,Medium,1
Male,30,25 - 45,Caucasian,4,0,-1,2013-08-28 11:22,2013-09-03 10:40,F,0,4,Low,0
Male,31,25 - 45,Caucasian,5,0,-1,2014-02-20 9:46,2014-03-31 9:04,M,0,5,Medium,0
Female,39,25 - 45,Caucasian,4,1,-1,2013-02-25 7:42,2013-06-12 4:31,F,0,4,Low,0
Male,59,Greater than 45,African-American,9,14,178,2015-05-31 7:39,2015-09-18 1:21,F,1,9,High,1
Male,43,25 - 45,Caucasian,1,1,-30,2013-07-16 6:41,2013-07-17 7:35,F,0,1,Low,0
Male,21,Less than 25,African-American,9,3,-1,2013-03-01 1:43,2013-03-07 8:20,F,1,9,High,1
Male,38,25 - 45,Caucasian,4,5,-1,2013-01-15 8:16,2013-01-18 4:32,M,1,4,Low,1
Male,34,25 - 45,Caucasian,5,0,0,2013-02-15 10:54,2013-03-02 9:04,F,0,5,Medium,0
Male,33,25 - 45,African-American,5,5,0,2013-11-17 1:23,2013-11-17 8:15,F,1,5,Medium,1
Male,37,25 - 45,African-American,2,3,0,2013-11-18 3:46,2013-11-19 10:18,F,0,2,Low,0
Male,42,25 - 45,Caucasian,2,1,0,2013-03-16 3:53,2013-03-17 1:43,F,1,2,Low,1
Male,41,25 - 45,African-American,9,10,0,2013-09-06 4:25,2014-03-01 4:39,F,1,9,High,1
Male,22,Less than 25,African-American,4,0,-1,2013-11-12 3:57,2013-11-13 1:01,F,1,4,Low,1
Male,33,25 - 45,African-American,8,28,-1,2014-01-10 8:06,2014-01-12 4:07,F,1,8,High,1
Male,31,25 - 45,African-American,7,1,-1,2013-10-13 3:47,2013-10-14 8:18,M,0,7,Medium,0
Female,30,25 - 45,Other,2,1,-1,2013-10-28 7:07,2013-10-29 9:49,F,0,2,Low,0
Male,31,25 - 45,Caucasian,10,13,-1,2013-02-25 6:43,2014-06-11 12:57,F,1,10,High,1
Male,27,25 - 45,African-American,9,3,-1,2014-11-14 12:10,2014-11-15 11:29,F,1,9,High,1
Male,56,Greater than 45,African-American,9,8,67,2014-02-11 9:01,2014-05-02 8:04,F,0,9,High,0
Male,52,Greater than 45,Caucasian,9,3,-2,2013-07-27 10:50,2013-07-28 2:01,M,0,9,High,0
Male,33,25 - 45,African-American,10,19,-1,2013-12-28 10:22,2013-12-29 7:10,F,1,10,High,1
Female,64,Greater than 45,Caucasian,1,2,-47,2014-02-12 4:23,2014-02-12 1:49,M,0,1,Low,0
Male,22,Less than 25,Caucasian,6,4,-36,2014-07-07 4:10,2014-07-21 9:38,F,1,6,Medium,1
Male,42,25 - 45,Caucasian,3,6,-4,2013-09-13 12:01,2013-09-13 9:01,F,0,3,Low,0
Female,25,25 - 45,Caucasian,4,2,-1,2013-12-22 1:36,2013-12-25 2:33,F,0,4,Low,0
Male,30,25 - 45,Caucasian,2,1,-20,2013-10-30 6:36,2013-11-03 2:08,M,0,2,Low,0
Male,28,25 - 45,Caucasian,1,2,,,,F,0,1,Low,0
Female,37,25 - 45,Other,2,2,-1,2013-12-29 10:42,2013-12-31 4:10,M,0,2,Low,0
Male,28,25 - 45,Caucasian,2,0,-1,2014-12-18 11:16,2014-12-19 8:34,M,1,2,Low,1
Female,24,Less than 25,African-American,2,0,-1,2014-02-06 1:25,2014-02-08 12:00,M,0,2,Low,0
Female,29,25 - 45,Caucasian,4,10,-1,2014-11-18 7:08,2014-11-25 9:31,F,1,4,Low,1
Male,44,25 - 45,Caucasian,2,2,0,2014-01-27 2:05,2014-01-27 1:32,M,1,2,Low,1
Female,30,25 - 45,Hispanic,5,4,-35,2014-02-28 1:37,2014-02-28 9:21,F,1,5,Medium,1
Male,32,25 - 45,African-American,7,3,-1,2013-01-01 7:06,2013-01-09 8:36,F,1,7,Medium,1
Male,31,25 - 45,Caucasian,3,2,-16,2013-08-20 5:28,2013-09-04 8:35,M,1,3,Low,1
Male,31,25 - 45,African-American,2,1,-1,2013-01-16 5:37,2013-01-17 7:15,M,1,2,Low,0
Male,59,Greater than 45,Caucasian,2,1,-1,2013-04-01 11:13,2013-04-02 1:06,F,1,2,Low,1
Female,45,Greater than 45,Caucasian,4,4,,,,F,0,4,Low,0
Female,20,Less than 25,African-American,10,1,0,2013-11-20 9:36,2013-11-23 4:06,F,0,10,High,0
Female,43,25 - 45,Caucasian,1,0,0,2013-05-14 4:01,2013-05-15 3:11,M,0,1,Low,0
Male,38,25 - 45,African-American,8,9,-1,2014-04-18 2:31,2014-05-01 5:39,F,1,8,High,1
Male,32,25 - 45,African-American,6,11,-2,2014-12-17 2:03,2014-12-18 8:41,F,1,6,Medium,1
Male,33,25 - 45,African-American,5,8,-1,2013-12-25 7:37,2013-12-26 1:30,M,1,5,Medium,1
Female,31,25 - 45,African-American,3,0,-1,2014-10-22 11:17,2014-10-24 6:08,F,1,3,Low,1
Female,33,25 - 45,African-American,9,7,-1,2013-01-10 1:18,2013-02-05 5:36,F,1,9,High,1
Male,27,25 - 45,African-American,9,2,-1,2013-04-15 5:49,2013-04-16 7:48,F,1,9,High,1
Female,20,Less than 25,African-American,6,0,0,2013-12-07 3:39,2013-12-07 7:28,F,0,6,Medium,0
Female,26,25 - 45,Caucasian,6,0,-2,2014-01-25 4:45,2014-01-26 2:13,M,0,6,Medium,0
Female,61,Greater than 45,African-American,1,1,-1,2013-04-26 7:00,2013-04-27 1:09,F,1,1,Low,1
Male,52,Greater than 45,Other,7,13,-1,2013-05-14 9:51,2013-05-16 3:32,F,1,7,Medium,1
Male,63,Greater than 45,Hispanic,1,1,-26,2014-01-10 9:45,2014-01-25 5:08,F,0,1,Low,0
Female,32,25 - 45,African-American,10,4,-7,2014-04-16 9:55,2014-04-23 5:27,F,1,10,High,1
Male,29,25 - 45,Hispanic,4,1,-1,2013-09-05 6:24,2013-09-06 3:39,F,0,4,Low,0
Female,46,Greater than 45,Other,2,1,,,,F,0,2,Low,0
Female,26,25 - 45,African-American,4,2,-1,2013-03-09 7:15,2013-03-10 1:31,M,1,4,Low,1
Male,55,Greater than 45,African-American,1,3,-51,2013-05-07 1:06,2013-05-08 3:17,M,0,1,Low,0
Male,39,25 - 45,Caucasian,4,1,-1,2014-02-10 10:59,2014-02-14 9:09,M,0,4,Low,0
Female,30,25 - 45,Caucasian,7,3,0,2013-05-02 4:01,2014-10-14 6:03,F,1,7,Medium,1
Male,30,25 - 45,African-American,7,1,0,2013-03-02 1:19,2013-05-11 4:23,F,0,7,Medium,0
Male,48,Greater than 45,Caucasian,2,2,-1,2013-09-25 12:51,2013-09-26 8:42,M,0,2,Low,0
Male,22,Less than 25,African-American,2,1,-1,2013-05-15 12:16,2013-05-16 9:03,F,0,2,Low,0
Male,46,Greater than 45,Caucasian,1,6,22,2013-03-05 9:31,2013-03-28 1:40,F,1,1,Low,1
Female,49,Greater than 45,Caucasian,6,6,-56,2014-01-22 7:46,2014-01-27 8:19,F,0,6,Medium,0
Male,31,25 - 45,Caucasian,5,0,0,2013-04-20 2:52,2013-04-22 9:19,F,0,5,Medium,0
Male,25,25 - 45,African-American,2,1,-1,2013-09-16 3:35,2013-09-18 1:39,M,1,2,Low,1
Male,23,Less than 25,Hispanic,3,0,-1,2013-09-08 1:03,2013-09-08 2:03,F,0,3,Low,0
Female,32,25 - 45,African-American,7,5,-1,2013-02-17 7:51,2013-02-18 10:17,F,0,7,Medium,0
Male,52,Greater than 45,Hispanic,1,2,-1,2013-03-04 10:07,2013-03-07 11:56,M,0,1,Low,0
Male,62,Greater than 45,African-American,4,8,0,2013-02-05 12:23,2013-02-21 4:06,F,0,4,Low,0
Female,37,25 - 45,Caucasian,10,6,-110,2013-01-02 12:30,2013-04-18 9:04,F,0,10,High,0
Male,55,Greater than 45,Caucasian,1,1,-45,2013-07-27 4:18,2013-08-14 12:12,F,0,1,Low,0
Male,31,25 - 45,Hispanic,9,8,29,2013-08-23 5:18,2013-12-18 10:43,F,1,9,High,1
Male,28,25 - 45,African-American,6,6,-1,2013-03-17 9:01,2013-03-18 1:40,M,1,6,Medium,1
Male,54,Greater than 45,Hispanic,1,2,-1,2013-08-28 2:23,2014-03-04 11:31,F,0,1,Low,0
Male,58,Greater than 45,Hispanic,2,0,-1,2013-03-13 10:02,2013-03-14 2:21,F,0,2,Low,0
Male,78,Greater than 45,Caucasian,1,1,-1,2014-09-19 10:36,2014-09-20 7:10,M,1,1,Low,1
Male,56,Greater than 45,Caucasian,1,0,-1,2014-03-02 3:51,2014-03-03 7:47,F,0,1,Low,0
Male,24,Less than 25,Other,2,0,-1,2014-01-13 9:13,2014-01-15 8:37,F,0,2,Low,0
Male,38,25 - 45,African-American,8,22,-34,2014-08-06 12:10,2014-09-09 10:37,F,1,8,High,1
Male,22,Less than 25,African-American,5,1,0,2014-04-24 1:23,2014-04-24 1:25,F,1,5,Medium,1
Male,47,Greater than 45,African-American,8,23,-1,2013-02-02 8:19,2013-02-03 5:06,M,1,8,High,1
Male,23,Less than 25,African-American,2,0,-1,2014-01-05 11:08,2014-01-06 12:02,M,1,2,Low,1
Male,57,Greater than 45,Hispanic,1,1,0,2013-10-25 9:20,2013-11-14 2:05,F,0,1,Low,0
Female,38,25 - 45,Caucasian,5,2,-35,2013-06-05 6:36,2013-06-06 6:23,F,1,5,Medium,1
Male,66,Greater than 45,African-American,1,3,-10,2013-06-01 11:04,2013-06-03 11:25,F,1,1,Low,0
Male,45,Greater than 45,Caucasian,4,8,0,2014-02-17 2:38,2014-04-29 4:18,M,1,4,Low,1
Female,52,Greater than 45,Other,3,0,,,,M,1,3,Low,1
Male,32,25 - 45,African-American,10,13,289,2014-06-13 3:07,2014-09-18 7:02,F,1,10,High,1
Male,37,25 - 45,African-American,9,2,0,2013-12-24 3:40,2013-12-24 8:53,M,1,9,High,1
Male,39,25 - 45,Caucasian,4,0,0,2014-03-02 5:08,2014-03-03 3:17,F,1,4,Low,1
Male,26,25 - 45,African-American,9,9,0,2014-11-14 1:28,2015-02-01 8:34,F,1,9,High,1
Male,45,Greater than 45,Caucasian,3,2,-1,2013-01-31 4:11,2014-01-25 3:27,F,0,3,Low,0
Male,23,Less than 25,African-American,3,0,-1,2014-04-25 10:29,2014-04-26 9:57,F,1,3,Low,1
Male,34,25 - 45,African-American,2,2,0,2014-01-31 12:35,2014-02-26 5:50,M,1,2,Low,0
Female,23,Less than 25,African-American,4,1,-1,2013-08-20 11:57,2013-08-21 7:50,M,0,4,Low,0
Male,36,25 - 45,Other,3,2,-1,2014-01-27 10:23,2014-01-30 10:04,M,1,3,Low,1
Male,50,Greater than 45,Caucasian,1,1,-4,2013-09-12 9:32,2013-09-14 3:06,F,0,1,Low,0
Female,37,25 - 45,Caucasian,3,0,-1,2013-11-07 2:53,2013-11-07 9:00,M,0,3,Low,0
Male,44,25 - 45,Caucasian,4,4,0,2013-01-06 4:51,2013-01-07 10:41,M,0,4,Low,0
Female,35,25 - 45,African-American,9,23,-1,2014-07-12 3:02,2014-07-14 5:19,F,1,9,High,1
Male,24,Less than 25,Other,5,5,-1,2014-10-07 12:01,2014-10-08 8:26,F,1,5,Medium,1
Male,26,25 - 45,African-American,10,2,-1,2013-04-17 6:43,2013-04-18 10:07,F,1,10,High,1
Male,27,25 - 45,African-American,2,0,-1,2013-03-25 12:25,2013-03-28 5:58,M,0,2,Low,0
Female,28,25 - 45,African-American,8,0,0,2013-10-29 4:01,2013-11-27 6:51,F,0,8,High,0
Male,43,25 - 45,Caucasian,5,11,49,2013-05-14 1:49,2013-09-12 7:19,F,1,5,Medium,1
Female,28,25 - 45,Caucasian,9,7,-1,2013-10-09 9:15,2013-10-10 9:46,F,1,9,High,1
Male,38,25 - 45,African-American,1,2,-1,2013-03-19 4:21,2013-03-20 9:34,F,0,1,Low,0
Male,27,25 - 45,Caucasian,4,2,-36,2014-01-21 10:31,2014-02-26 10:40,M,0,4,Low,0
Female,28,25 - 45,African-American,9,1,-1,2013-01-01 6:27,2013-02-09 2:24,F,0,9,High,0
Male,56,Greater than 45,Caucasian,1,7,-1,2013-03-19 11:00,2013-03-20 1:32,F,1,1,Low,1
Male,38,25 - 45,African-American,9,15,-1,2013-02-18 9:26,2013-02-20 3:43,F,0,9,High,0
Male,28,25 - 45,African-American,5,2,-1,2013-10-30 7:57,2013-10-31 1:45,M,0,5,Medium,0
Male,45,Greater than 45,African-American,6,3,104,2013-04-24 12:56,2013-11-29 3:06,F,0,6,Medium,0
Male,28,25 - 45,Hispanic,2,0,,,,M,0,2,Low,0
Male,61,Greater than 45,Caucasian,1,1,-34,2013-02-14 11:17,2013-02-15 7:40,F,0,1,Low,0
Female,51,Greater than 45,Caucasian,1,0,-1,2014-01-12 8:37,2014-01-13 2:00,M,1,1,Low,1
Male,51,Greater than 45,Caucasian,2,0,-1,2013-10-30 11:27,2013-10-31 8:46,M,0,2,Low,0
Male,36,25 - 45,Other,1,1,-1,2013-01-06 9:15,2013-01-07 11:01,M,1,1,Low,1
Male,48,Greater than 45,African-American,1,0,-1,2013-01-12 6:40,2013-01-13 9:03,F,0,1,Low,0
Male,37,25 - 45,Caucasian,3,4,0,2013-04-17 4:44,2013-04-19 1:08,F,1,3,Low,1
Female,30,25 - 45,African-American,7,2,-1,2013-05-12 6:56,2013-05-15 2:06,F,0,7,Medium,0
Female,41,25 - 45,African-American,6,5,0,2013-11-05 2:09,2013-11-05 7:57,M,0,6,Medium,0
Male,27,25 - 45,African-American,10,11,-1,2013-04-23 7:22,2013-12-02 11:28,F,1,10,High,1
Male,37,25 - 45,African-American,1,0,-1,2013-02-16 7:22,2013-02-18 2:10,M,1,1,Low,0
Male,33,25 - 45,Other,4,4,0,2014-04-30 2:37,2014-05-02 5:55,F,1,4,Low,1
Male,54,Greater than 45,African-American,9,11,-1,2013-05-06 8:51,2013-09-13 5:58,F,0,9,High,0
Male,23,Less than 25,African-American,9,2,-1,2013-05-08 10:09,2013-07-19 6:36,F,0,9,High,0
Female,26,25 - 45,African-American,4,2,-227,2013-12-14 11:19,2014-07-29 11:06,F,1,4,Low,1
Male,41,25 - 45,African-American,1,0,0,2014-01-25 9:44,2014-01-26 6:31,M,0,1,Low,0
Male,52,Greater than 45,Caucasian,1,0,-1,2013-05-15 11:15,2013-05-16 8:50,F,0,1,Low,0
Male,43,25 - 45,Caucasian,4,13,0,2013-02-20 1:55,2013-04-12 9:45,F,1,4,Low,1
Male,52,Greater than 45,African-American,4,0,-1,2014-02-03 3:50,2014-02-17 2:20,F,0,4,Low,0
Male,28,25 - 45,Caucasian,1,1,-3,2013-05-14 4:20,2013-05-17 10:53,F,0,1,Low,0
Male,30,25 - 45,African-American,9,11,-1,2014-08-05 3:19,2014-08-06 8:40,M,1,9,High,1
Male,28,25 - 45,Caucasian,5,1,0,2013-09-27 4:35,2013-10-03 8:39,F,0,5,Medium,0
Male,22,Less than 25,African-American,4,0,-1,2013-02-21 3:42,2013-02-22 1:52,F,0,4,Low,0
Male,30,25 - 45,African-American,2,4,0,2013-03-05 4:44,2013-03-05 1:41,F,0,2,Low,0
Male,25,25 - 45,Hispanic,4,4,0,2013-11-03 2:47,2013-11-04 7:59,F,0,4,Low,0
Male,31,25 - 45,Caucasian,8,0,-1,2014-12-30 4:53,2015-01-30 4:31,F,1,8,High,1
Male,37,25 - 45,Caucasian,2,0,-1,2014-04-18 5:22,2014-05-23 5:31,F,1,2,Low,1
Male,32,25 - 45,African-American,9,14,-1,2013-12-16 5:05,2013-12-17 8:47,F,0,9,High,0
Male,26,25 - 45,African-American,8,4,649,2015-06-22 9:31,2015-09-06 7:25,M,0,8,High,0
Male,53,Greater than 45,Caucasian,1,1,-1,2013-01-15 5:53,2013-01-16 7:01,M,0,1,Low,0
Male,28,25 - 45,African-American,8,25,29,2014-01-08 11:38,2014-02-03 10:50,F,1,8,High,1
Male,44,25 - 45,Caucasian,5,8,-1,2013-04-10 9:31,2013-04-15 9:09,M,1,5,Medium,1
Male,25,25 - 45,African-American,3,0,0,2013-09-06 1:00,2013-09-06 9:12,F,0,3,Low,0
Male,22,Less than 25,Caucasian,8,1,0,2013-01-31 12:38,2013-02-06 11:18,M,1,8,High,1
